Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4410,2.196016,-0.11187959,-1.0,6.0,-1.0
4420,2.1959233,-0.10674576,-1.0,6.0,-1.0
4430,2.1959083,-0.09441864,-1.0,6.0,-1.0
4440,2.1960597,-0.09954193,-1.0,6.0,-1.0
4450,2.1960404,-0.12870346,-1.0,6.0,-1.0
4460,2.1958978,-0.09728045,-1.0,6.0,-1.0
4470,2.1958895,-0.09273883,-1.0,6.0,-1.0
4480,2.1959755,-0.10338202,-1.0,6.0,-1.0
4490,2.1960287,-0.16487868,-1.0,6.0,-1.0
4500,2.1959622,-0.10262795,-1.0,6.0,-1.0
4510,2.195899,-0.09137538,-1.0,6.0,-1.0
4520,2.1959639,-0.10075645,-1.0,6.0,-1.0
4530,2.196055,-0.11213813,-1.0,6.0,-1.0
4540,2.195947,-0.10493212,-1.0,6.0,-1.0
4550,2.1959107,-0.09647236,-1.0,6.0,-1.0
4560,2.1959295,-0.10249621,-1.0,6.0,-1.0
4570,2.1960692,-0.12799676,-1.0,6.0,-1.0
4580,2.1959467,-0.105297,-1.0,6.0,-1.0
4590,2.1959016,-0.11162423,-1.0,6.0,-1.0
4600,2.195969,-0.16150087,-1.0,6.0,-1.0
4610,2.196042,-0.11056572,-1.0,6.0,-1.0
4620,2.195921,-0.09273745,-1.0,6.0,-1.0
4630,2.1958628,-0.09450388,-1.0,6.0,-1.0
4640,2.1959777,-0.11395487,-1.0,6.0,-1.0
4650,2.196049,-0.11735159,-1.0,6.0,-1.0
4660,2.1960008,-0.11297324,-1.0,6.0,-1.0
4670,2.1959755,-0.10548872,-1.0,6.0,-1.0
4680,2.19595,-0.100898534,-1.0,6.0,-1.0
4690,2.19607,-0.11408196,-1.0,6.0,-1.0
4700,2.195936,-0.100379854,-1.0,6.0,-1.0
4710,2.195855,-0.09763497,-1.0,6.0,-1.0
4720,2.195986,-0.11922895,-1.0,6.0,-1.0
